"","Species","mean"
"303","Actibacterium_unclassified",0.00123243485920651
"304","Desulfobulbus_unclassified",0.00123243485920651
"305","Melaminivora_unclassified",0.00123243485920651
"306","Rhodohalobacter_unclassified",0.00123243485920651
"307","Tessaracoccus_unclassified",0.00123243485920651
"308","Slackia_unclassified",0.00123172217526157
"309","Phoenicibacter_congonensis",0.00123122881615392
"310","Aurantimonas_unclassified",0.00123075889897903
"311","Euryhalocaulis_unclassified",0.00123075889897903
"312","Rhizobacter_unclassified",0.00123075889897903
"313","Stenotrophomonas_unclassified",0.00123075889897903
"314","Paraprevotella_unclassified",0.00123036935496139
"315","Roseburia_intestinalis",0.00122862235166766
"316","Acidobacterium_unclassified",0.00122853251931483
"317","Geobacillus_unclassified",0.00122853251931483
"318","Odoribacter_laneus",0.00122853251931483
"319","[Clostridium]_bolteae",0.00122853251931483
"320","Maritalea_unclassified",0.0012274191218236
"321","Firmicutes_unclassified",0.00122667936900649
"322","Bartonella_unclassified",0.00122655273281177
"323","Lachnospiraceae_unclassified",0.00122638069898739
"324","Parvularcula_unclassified",0.00122579743350131
"325","Phormidesmis_unclassified",0.00122579743350131
"326","Helicobacter_unclassified",0.0012229437358452
"327","Bacteroides_faecichinchillae",0.00122286002828508
"328","Bifidobacterium_unclassified",0.00122158349459774
"329","Neglecta_unclassified",0.00122129202092997
"330","Monoglobus_unclassified",0.00122121734496304
"331","Roseburia_unclassified",0.00121919317719748
"332","Neglecta_timonensis",0.00121688429670612
"333","Rhodospirillum_unclassified",0.00121654720505245
"334","Prevotella_marshii",0.0012158625436787
"335","Helicobacter_apodemus",0.00121542670806115
"336","Coriobacteriales_unclassified",0.00121474306490537
"337","Hungateiclostridiaceae_bacterium_KB18",0.00121365001284906
"338","Massilimaliae_unclassified",0.0012128991595902
"339","Cohaesibacter_unclassified",0.00121110496040543
"340","Reichenbachiella_unclassified",0.001211013232934
"341","Desulfovibrio_unclassified",0.00121083423944248
"342","Herbinix_unclassified",0.00120876193209941
"343","Campylobacter_unclassified",0.00120873370691383
"344","Fastidiosipila_unclassified",0.00120778523376865
"345","Zunongwangia_unclassified",0.00120645155944876
"346","Frateuria_unclassified",0.00120529571446789
"347","Maritimibacter_unclassified",0.00120529571446789
"348","Parvimonas_unclassified",0.00120529571446789
"349","Pedobacter_unclassified",0.00120487875943658
"350","Carnobacterium_unclassified",0.00120380583177875
"351","Ethanoligenens_unclassified",0.00120276979966646
"352","Sporanaerobacter_unclassified",0.00120093176068798
"353","Castellaniella_unclassified",0.00120011377527817
"354","Paludibacter_unclassified",0.00119979021278891
"355","Winogradskyella_unclassified",0.0011993490260107
"356","Allobaculum_stercoricanis",0.00119632479548763
"357","Mucinivorans_unclassified",0.00119341847117784
"358","Aminipila_unclassified",0.00119202015646875
"359","Terasakiella_unclassified",0.00119120161977813
"360","Negativibacillus_unclassified",0.00119056566433218
"361","Desulfonispora_unclassified",0.00118880792100254
"362","Massilia_unclassified",0.00118812601029484
"363","Kaistia_unclassified",0.00118796798716197
"364","Bacillus_unclassified",0.00118678010908748
"365","Angelakisella_unclassified",0.00118670444458153
"366","Gloeomargarita_unclassified",0.00118630120590781
"367","Porphyromonas_unclassified",0.00118579672833263
"368","Bauldia_unclassified",0.00118396008537186
"369","Kordia_unclassified",0.00118396008537186
"370","Schaalia_odontolytica",0.00118396008537186
"371","Thauera_unclassified",0.00118396008537186
"372","Clostridiales_unclassified",0.00118339052828191
"373","Clostridium_unclassified",0.00118128281983566
"374","Paenisporosarcina_unclassified",0.00118051324778187
"375","Tetragenococcus_unclassified",0.00118036087583952
"376","Mahella_unclassified",0.00118026801688309
"377","Sphingomonas_unclassified",0.00117862517453958
"378","Syntrophomonas_unclassified",0.00117810867769591
"379","Pseudomonas_unclassified",0.0011779251075404
"380","Parapedobacter_unclassified",0.00117674992544856
"381","Flavonifractor_unclassified",0.00117502654182034
"382","Terribacillus_unclassified",0.00117429396216466
"383","Denitrobacterium_unclassified",0.00117200033655814
"384","Brochothrix_unclassified",0.00117141214020191
"385","Ruminococcus_unclassified",0.00117124839016812
"386","Spirosoma_radiotolerans",0.00116996539613844
"387","Laceyella_unclassified",0.00116952005913317
"388","Mariniphaga_unclassified",0.00116946865157732
"389","Monoglobus_pectinilyticus",0.00116946865157732
"390","Phycicoccus_unclassified",0.00116946865157732
"391","Escherichia_unclassified",0.00116936617454743
"392","Butyricicoccus_unclassified",0.00116870265766316
"393","Burkholderiales_bacterium_YL45",0.00116777354082318
"394","Pseudoclostridium_unclassified",0.00116727227101537
"395","Turicibacter_unclassified",0.00116610191823779
"396","Peptostreptococcaceae_bacterium_oral_taxon_929",0.00116588614782746
"397","Ruminococcaceae_unclassified",0.00116512311638695
"398","Niveispirillum_unclassified",0.0011643055166572
"399","Oleispira_unclassified",0.0011643055166572
"400","Bulleidia_unclassified",0.00116412093850117
"401","Gottschalkia_unclassified",0.00116399812769433
"402","Bacteria_unclassified",0.00116375310777655
"403","Dielma_unclassified",0.0011635275418472
"404","Thalassobaculum_unclassified",0.00116247440406125
"405","Turicimonas_muris",0.0011619911991074
"406","Virgibacillus_unclassified",0.0011606231048347
"407","Pseudodesulfovibrio_unclassified",0.00116055753845973
"408","Odoribacteraceae_unclassified",0.00115883813464735
"409","Propionivibrio_unclassified",0.00115883813464735
"410","Staphylococcus_epidermidis",0.00115883813464735
"411","Streptococcus_sp._oral_taxon_431",0.00115883813464735
"412","Bhargavaea_unclassified",0.0011586992900106
"413","Ignavibacterium_unclassified",0.0011586992900106
"414","Lysobacter_unclassified",0.0011586992900106
"415","Saccharicrinis_fermentans",0.0011586992900106
"416","Turicibacter_sp._H121",0.0011566535984813
"417","Magnetococcus_unclassified",0.00115629712429021
"418","Flavobacterium_unclassified",0.00115623275709486
"419","Gordonibacter_unclassified",0.00115546028625774
"420","Thermosinus_unclassified",0.00115530175349345
"421","Eggerthella_unclassified",0.00115407433869242
"422","Enterobacteriaceae_unclassified",0.00115393624425641
"423","Senegalimassilia_anaerobia",0.00115273418352879
"424","Brevibacillus_unclassified",0.0011526030017102
"425","Mogibacterium_unclassified",0.00115226840430542
"426","Exiguobacterium_unclassified",0.00115207390993517
"427","Sporocytophaga_myxococcoides",0.00115127023452266
"428","Thermoclostridium_unclassified",0.00114995430519785
"429","Anaerococcus_unclassified",0.00114976841014986
"430","Pseudacidovorax_unclassified",0.00114951734293975
"431","Pseudanabaena_unclassified",0.00114951734293975
"432","Aneurinibacillus_sp._XH2",0.00114926283275735
"433","Devosia_unclassified",0.00114836292817333
"434","Catonella_unclassified",0.00114822387339208
"435","Porphyromonas_asaccharolytica",0.00114626732907221
"436","Erysipelothrix_unclassified",0.0011461269209458
"437","Saccharibacillus_unclassified",0.00114495567458798
"438","Rhizobium_unclassified",0.00114483356116738
"439","Roseburia_hominis",0.00114464341298196
"440","Halobacteriovorax_marinus",0.00114451440526734
"441","Ruthenibacterium_lactatiformans",0.00114449864140573
"442","Veillonella_unclassified",0.00114412946453364
"443","Thiomicrorhabdus_unclassified",0.00114317548484909
"444","Sinorhizobium_unclassified",0.00114287354704705
"445","Candidatus_Phytoplasma_unclassified",0.00114281244029052
"446","Coprococcus_unclassified",0.00114279732125025
"447","Hydrogenovibrio_unclassified",0.0011425901392059
"448","Listeria_unclassified",0.00114168289976489
"449","Helicobacter_hepaticus",0.00114137729664584
"450","Methylobacillus_unclassified",0.00114083260322494
"451","Fenollaria_unclassified",0.00114064960468027
"452","Olsenella_umbonata",0.00114056331459457
"453","Pseudobacteroides_unclassified",0.00114001537936721
"454","Mangrovimonas_unclassified",0.00113932813015895
"455","Geitlerinema_unclassified",0.00113915673975567
"456","Saccharicrinis_unclassified",0.00113915673975567
"457","Candidatus_Puniceispirillum_unclassified",0.00113908866356694
"458","Holospora_unclassified",0.00113854921120777
"459","Mesoplasma_unclassified",0.00113792665850168
"460","Comamonadaceae_unclassified",0.00113729146245031
"461","Lactococcus_garvieae",0.00113703210001196
"462","Mycoplasma_unclassified",0.00113521395466449
"463","Christensenella_massiliensis",0.00113491958719849
"464","Sphingobium_unclassified",0.00113406098755043
"465","Geosporobacter_unclassified",0.00113342203905125
"466","Amantichitinum_unclassified",0.00113220004231675
"467","Fibrobacter_intestinalis",0.00113220004231675
"468","Helicobacter_pullorum",0.00113220004231675
"469","Helicobacter_himalayensis",0.00113145143629849
"470","Candidatus_Izimaplasma_unclassified",0.00113144237354252
"471","Sphingobacterium_unclassified",0.00113117935658254
"472","Coprobacter_secundus",0.00112981944949837
"473","Magnetospira_unclassified",0.00112976083294927
"474","Aneurinibacillus_unclassified",0.0011286728164003
"475","Anaerobutyricum_unclassified",0.00112711866507992
"476","Bacillus_subtilis",0.00112711232575741
"477","Anaerostipes_unclassified",0.00112704040776273
"478","Anaerotruncus_unclassified",0.00112586228746758
"479","Dokdonia_unclassified",0.00112522400293595
"480","Spirochaeta_unclassified",0.00112445962273973
"481","Acholeplasmataceae_unclassified",0.00112395341241008
"482","Marivirga_unclassified",0.00112395341241008
"483","[Clostridium]_sphenoides",0.00112395341241008
"484","Luteimonas_unclassified",0.00112383782475234
"485","Anaerofustis_unclassified",0.00112295929724516
"486","Pediococcus_unclassified",0.00112261285883584
"487","Neisseria_unclassified",0.00112089158085456
"488","Butyrivibrio_unclassified",0.00112063061455619
"489","Desulfovibrionaceae_unclassified",0.00111921307995488
"490","Sphaerotilus_unclassified",0.00111836979876272
"491","Tepidicaulis_unclassified",0.00111781426504246
"492","Novibacillus_unclassified",0.00111665934757545
"493","Caulobacter_unclassified",0.00111652488684233
"494","Kiloniella_unclassified",0.00111628074024783
"495","Hydrogenoanaerobacterium_unclassified",0.00111607157425387
